rank,momentum,artist,title,points,days,genre,url,length,released,bpm,key,label
1,0,"JONAS BLUE, MALIVE",Edge of Desire,21347,290,HOUSE,https://www.beatstats.com/track/track/20625808,4:12,2025-07-18,123,9B - G Major,DEFECTED
2,0,"TINASHE, DISCO LINES",No Broke Boys,17922,258,DANCE / POP,https://www.beatstats.com/track/track/20601832,3:26,2025-06-06,131,1B - B Major,NICE LIFE/ATLANTIC
3,0,MAU P,Like I Like It,16951,251,TECH HOUSE,https://www.beatstats.com/track/track/20505201,6:37,2025-05-23,128,4B - G# Major,DIYNAMIC
4,0,"HUGEL, SOLTO (FR)",Jamaican (Bam Bam),16702,178,AFRO HOUSE,https://www.beatstats.com/track/track/22357262,5:00,2025-11-07,122,11B - A Major,MOBLACK RECORDS
5,3,JAMBACK,Positive,15497,178,MINIMAL / DEEP TECH,https://www.beatstats.com/track/track/22236272,6:01,2025-11-07,130,7B - F Major,CIRCOLOCO RECORDS
6,0,TOMAN,Verano En NY,13599,232,TECH HOUSE,https://www.beatstats.com/track/track/20564331,4:21,2025-06-27,126,9B - G Major,SOLID GROOVES RECORDS
7,0,"CID, TAYLR RENEE",Fancy $hit,13304,170,TECH HOUSE,https://www.beatstats.com/track/track/21309496,5:27,2025-09-05,129,7B - F Major,CATCH & RELEASE
8,0,PROSPA,Don't Stop,12348,237,TECH HOUSE,https://www.beatstats.com/track/track/20311844,4:00,2025-04-11,128,2A - D# Minor,CIRCOLOCO RECORDS
9,0,"PROSPA, KOSMO KINT",Love Songs (feat. Kosmo Kint),12327,179,HOUSE,https://www.beatstats.com/track/track/21977538,4:48,2025-10-03,127,3A - A# Minor,CIRCOLOCO RECORDS
10,1,"DA HOOL, CASSIAN, YOTTO",Love Parade,11337,154,MELODIC HOUSE & TECHNO,https://www.beatstats.com/track/track/21774346,4:09,2025-09-19,128,10B - D Major,AFTERLIFE RECORDS
11,1,SIDEPIECE,Cry For You,11170,156,DANCE / POP,https://www.beatstats.com/track/track/21531599,4:23,2025-09-26,132,12B - E Major,LIP SERVICE
12,9,"ULTRA NATE, HUGEL",Free (You Got To Live),11006,156,AFRO HOUSE,https://www.beatstats.com/track/track/22366666,5:27,2025-11-28,123,4A - F Minor,CR2 RECORDS
13,1,BABES ON THE RUN,Power,10626,224,FUNKY HOUSE,https://www.beatstats.com/track/track/20692753,4:29,2025-07-11,128,3B - C# Major,PORNOSTAR RECORDS
14,1,"CHRIS LAKE, THE CHEMICAL BROTHERS",Galvanize,10594,146,DANCE / POP,https://www.beatstats.com/track/track/21200241,4:36,2025-08-29,128,9B - G Major,POSITIVA
15,1,CHRIS LORENZO,Appetite,10406,162,TECH HOUSE,https://www.beatstats.com/track/track/20450483,4:38,2025-05-16,132,7B - F Major,CATCH & RELEASE
16,2,"MAX DEAN, LUKE DEAN, LOCKY (UK)",Can't Decide,9683,189,DEEP HOUSE,https://www.beatstats.com/track/track/20515390,5:26,2025-05-23,130,4B - G# Major,NEXUP RECZ
17,3,"CALVIN HARRIS, CLEMENTINE DOUGLAS",Blessings,9601,132,DANCE / POP,https://www.beatstats.com/track/track/20462394,5:30,2025-05-09,130,10A - B Minor,COLUMBIA (SONY)
18,4,"AUDIO BULLYS, CHRIS LORENZO, MAX STYLER",London's On Fire,9283,154,TECH HOUSE,https://www.beatstats.com/track/track/20601589,4:49,2025-07-04,130,10B - D Major,BLACK BOOK RECORDS
19,24,BRUNELLO,Ghost Dance,9154,126,INDIE DANCE,https://www.beatstats.com/track/track/23140771,6:12,2025-12-26,125,5A - C Minor,MELLOW CIRCUS RECORDS
20,4,"KATE LINN, PROVI, FANTOMEL",Dame Un Grrr (Provi Remix),9148,146,AFRO HOUSE,https://www.beatstats.com/track/track/21250305,4:48,2025-08-22,123,11A - F# Minor,MAKE THE GIRLS DANCE RECORDS
21,4,FALLON (IE),Diet Coke,8996,117,TECH HOUSE,https://www.beatstats.com/track/track/22095452,5:01,2025-10-10,128,10B - D Major,EXPERTS ONLY
22,5,"VANCO, AYA.SYSTEM",Ma Tnsani (Yalla Habibi) (feat. AYA.SYSTEM),8792,149,AFRO HOUSE,https://www.beatstats.com/track/track/20088037,6:49,2025-04-04,120,12A - C# Minor,AFRO REPUBLIK
23,9,SUPERNOVA,Velvet Avenue,8459,136,HOUSE,https://www.beatstats.com/track/track/22735704,5:17,2025-12-05,129,4A - F Minor,LAPSUS MUSIC
