rank,rise_amount,is_rising,artist_raw,artists,num_artists,title,genre,points,days,beatport_link
1,0,False,"JONAS BLUE, MALIVE",JONAS BLUE | MALIVE,2,Edge of Desire,HOUSE,21094,285,https://www.beatport.com/track/edge-of-desire/20625808
2,0,False,"TINASHE, DISCO LINES",TINASHE | DISCO LINES,2,No Broke Boys,DANCE / POP,17922,258,https://www.beatport.com/track/no-broke-boys/20601832
3,0,False,MAU P,MAU P,1,Like I Like It,TECH HOUSE,16951,251,https://www.beatport.com/track/like-i-like-it/20505201
4,0,False,"HUGEL, SOLTO (FR)",HUGEL | SOLTO (FR),2,Jamaican (Bam Bam),AFRO HOUSE,16248,173,https://www.beatport.com/track/jamaican-bam-bam/22357262
5,3,True,JAMBACK,JAMBACK,1,Positive,MINIMAL / DEEP TECH,15176,173,https://www.beatport.com/track/positive/22236272
6,0,False,TOMAN,TOMAN,1,Verano En NY,TECH HOUSE,13549,228,https://www.beatport.com/track/verano-en-ny/20564331
7,0,False,"CID, TAYLR RENEE",CID | TAYLR RENEE,2,Fancy $hit,TECH HOUSE,13304,170,https://www.beatport.com/track/fancy-hit/21309496
8,0,False,PROSPA,PROSPA,1,Don't Stop,TECH HOUSE,12579,237,https://www.beatport.com/track/dont-stop/20311844
9,0,False,"PROSPA, KOSMO KINT",PROSPA | KOSMO KINT,2,Love Songs (feat. Kosmo Kint),HOUSE,12178,174,https://www.beatport.com/track/love-songs-feat-kosmo-kint/21977538
10,1,True,"DA HOOL, CASSIAN, YOTTO",DA HOOL | CASSIAN | YOTTO,3,Love Parade,MELODIC HOUSE & TECHNO,11337,154,https://www.beatport.com/track/love-parade/21774346
11,1,True,SIDEPIECE,SIDEPIECE,1,Cry For You,DANCE / POP,11170,156,https://www.beatport.com/track/cry-for-you/21531599
12,9,True,"ULTRA NATE, HUGEL",ULTRA NATE | HUGEL,2,Free (You Got To Live),AFRO HOUSE,10713,151,https://www.beatport.com/track/free-you-got-to-live/22366666
13,1,True,BABES ON THE RUN,BABES ON THE RUN,1,Power,FUNKY HOUSE,10626,224,https://www.beatport.com/track/power/20692753
14,1,True,"CHRIS LAKE, THE CHEMICAL BROTHERS",CHRIS LAKE | THE CHEMICAL BROTHERS,2,Galvanize,DANCE / POP,10594,146,https://www.beatport.com/track/galvanize/21200241
15,1,True,CHRIS LORENZO,CHRIS LORENZO,1,Appetite,TECH HOUSE,10406,162,https://www.beatport.com/track/appetite/20450483
