rank,momentum,artist,title,genre,points,days,label,released,bpm,key,length
1,0,"JONAS BLUE, MALIVE",Edge of Desire,HOUSE,21347,290,DEFECTED,2025-07-18,123,9B - G Major,4:12
2,0,"TINASHE, DISCO LINES",No Broke Boys,DANCE / POP,17922,258,NICE LIFE/ATLANTIC,2025-06-06,131,1B - B Major,3:26
3,0,MAU P,Like I Like It,TECH HOUSE,16951,251,DIYNAMIC,2025-05-23,128,4B - G# Major,6:37
4,0,"HUGEL, SOLTO (FR)",Jamaican (Bam Bam),AFRO HOUSE,16702,178,MOBLACK RECORDS,2025-11-07,122,11B - A Major,5:00
5,3,JAMBACK,Positive,MINIMAL / DEEP TECH,15497,178,CIRCOLOCO RECORDS,2025-11-07,130,7B - F Major,6:01
6,0,TOMAN,Verano En NY,TECH HOUSE,13599,232,SOLID GROOVES RECORDS,2025-06-27,126,9B - G Major,4:21
7,0,"CID, TAYLR RENEE",Fancy $hit,TECH HOUSE,13304,170,CATCH & RELEASE,2025-09-05,129,7B - F Major,5:27
8,0,PROSPA,Don't Stop,TECH HOUSE,12348,237,CIRCOLOCO RECORDS,2025-04-11,128,2A - D# Minor,4:00
9,0,"PROSPA, KOSMO KINT",Love Songs (feat. Kosmo Kint),HOUSE,12327,179,CIRCOLOCO RECORDS,2025-10-03,127,3A - A# Minor,4:48
10,1,"DA HOOL, CASSIAN, YOTTO",Love Parade,MELODIC HOUSE & TECHNO,11337,154,AFTERLIFE RECORDS,2025-09-19,128,10B - D Major,4:09
11,1,SIDEPIECE,Cry For You,DANCE / POP,11170,156,LIP SERVICE,2025-09-26,132,12B - E Major,4:23
12,9,"ULTRA NATE, HUGEL",Free (You Got To Live),AFRO HOUSE,11006,156,CR2 RECORDS,2025-11-28,123,4A - F Minor,5:27
13,1,BABES ON THE RUN,Power,FUNKY HOUSE,10626,224,PORNOSTAR RECORDS,2025-07-11,128,3B - C# Major,4:29
14,1,"CHRIS LAKE, THE CHEMICAL BROTHERS",Galvanize,DANCE / POP,10594,146,POSITIVA,2025-08-29,128,9B - G Major,4:36
15,1,CHRIS LORENZO,Appetite,TECH HOUSE,10406,162,CATCH & RELEASE,2025-05-16,132,7B - F Major,4:38
16,2,"MAX DEAN, LUKE DEAN, LOCKY (UK)",Can't Decide,DEEP HOUSE,9683,189,NEXUP RECZ,2025-05-23,130,4B - G# Major,5:26
17,3,"CALVIN HARRIS, CLEMENTINE DOUGLAS",Blessings,DANCE / POP,9601,132,COLUMBIA (SONY),2025-05-09,130,10A - B Minor,5:30
18,4,"AUDIO BULLYS, CHRIS LORENZO, MAX STYLER",London's On Fire,TECH HOUSE,9283,154,BLACK BOOK RECORDS,2025-07-04,130,10B - D Major,4:49
19,24,BRUNELLO,Ghost Dance,INDIE DANCE,9154,126,MELLOW CIRCUS RECORDS,2025-12-26,125,5A - C Minor,6:12
20,4,"KATE LINN, PROVI, FANTOMEL",Dame Un Grrr (Provi Remix),AFRO HOUSE,9148,146,MAKE THE GIRLS DANCE RECORDS,2025-08-22,123,11A - F# Minor,4:48
21,4,FALLON (IE),Diet Coke,TECH HOUSE,8996,117,EXPERTS ONLY,2025-10-10,128,10B - D Major,5:01
22,5,"VANCO, AYA.SYSTEM",Ma Tnsani (Yalla Habibi) (feat. AYA.SYSTEM),AFRO HOUSE,8792,149,AFRO REPUBLIK,2025-04-04,120,12A - C# Minor,6:49
23,9,SUPERNOVA,Velvet Avenue,HOUSE,8459,136,LAPSUS MUSIC,2025-12-05,129,4A - F Minor,5:17
24,4,VINTER (BR),Space Pump,HOUSE,8297,124,NERVOUS RECORDS,2025-08-29,128,10A - B Minor,6:01
25,4,"EMPIRE OF THE SUN, BLOND:ISH",Walking On A Dream,DANCE / POP,8211,133,EMI RECORDED MUSIC AUSTRALIA PTY LTD,2025-07-28,127,4A - F Minor,5:20
26,0,"CHRIS LAKE, RAGIE BAN",Toxic,TECH HOUSE,8030,133,BLACK BOOK RECORDS,2025-03-28,129,4A - F Minor,4:58
27,4,FEZZO,Kids,DANCE / POP,7786,84,RELENTLESS LABEL SERVICES,2025-11-14,130,11A - F# Minor,6:10
28,57,TRACE (UZ),Good Time,HOUSE,7734,86,8BIT,2026-02-06,128,1A - G# Minor,5:46
29,49,MAU P,neck,TECH HOUSE,7688,87,BLACK BOOK RECORDS,2026-02-06,129,10A - B Minor,5:50
30,0,"JOCELYN BROWN, LUKE ALESSI, CHLOé CAILLET",The One,HOUSE,7602,120,SMIILE RECORDS / DISORDER,2025-04-11,65,2A - D# Minor,5:45
31,2,"KURD MAVERICK, HUGEL",PYHU (Put Your Hands Up),AFRO HOUSE,7590,119,CR2 RECORDS,2025-10-03,123,5B - D# Major,5:23
32,2,"SHAKEDOWN, LAYTON GIORDANI, ANYMA (OFC)",At Night (Anyma x Layton Giordani Extended Remix),MELODIC HOUSE & TECHNO,7542,123,DEFECTED,2025-06-27,127,7B - F Major,4:35
